ForeignKeyName,ChildTable,ChildColumn,ParentTable,ParentColumn
--------------,----------,-----------,-----------,------------
FK_AppUser_Role_RoleId,AppUser,RoleId,Role,RoleId
FK_Bet_AppUser_UserId,Bet,UserId,AppUser,UserId
FK_Bet_Horse_HorseId,Bet,HorseId,Horse,Id
FK_Bet_Race_RaceId,Bet,RaceId,Race,RaceId
FK_Horse_AppUser_OwnerId,Horse,OwnerId,AppUser,UserId
FK_Horse_Registration_RegistrationId,Horse,RegistrationId,Registration,Id
FK_HorseDocument_Horse_HorseId,HorseDocument,HorseId,Horse,Id
FK_HorseStatistic_Horse_HorseId,HorseStatistic,HorseId,Horse,Id
FK_JockeyContract_AppUser_JockeyId,JockeyContract,JockeyId,AppUser,UserId
FK_JockeyContract_AppUser_OwnerId,JockeyContract,OwnerId,AppUser,UserId
FK_JockeyContract_Horse_HorseId,JockeyContract,HorseId,Horse,Id
FK_JockeyProfile_AppUser_UserId,JockeyProfile,UserId,AppUser,UserId
FK_Notification_AppUser_UserId,Notification,UserId,AppUser,UserId
FK_Payout_Bet_BetId,Payout,BetId,Bet,Id
FK_Prize_Tournament_TournamentId,Prize,TournamentId,Tournament,TournamentId
FK_Race_Round_RoundId,Race,RoundId,Round,RoundId
FK_RaceEntry_AppUser_JockeyId,RaceEntry,JockeyId,AppUser,UserId
FK_RaceEntry_Horse_HorseId,RaceEntry,HorseId,Horse,Id
FK_RaceEntry_Horse_HorseId1,RaceEntry,HorseId1,Horse,Id
FK_RaceEntry_Race_RaceId,RaceEntry,RaceId,Race,RaceId
FK_RaceRefereeAssignment_Race_RaceId,RaceRefereeAssignment,RaceId,Race,RaceId
FK_RaceRefereeAssignment_RefereeProfile_RefereeId,RaceRefereeAssignment,RefereeId,RefereeProfile,RefereeId
FK_RaceResult_Race_RaceId,RaceResult,RaceId,Race,RaceId
FK_RaceViolation_Race_RaceId,RaceViolation,RaceId,Race,RaceId
FK_RefereeProfile_AppUser_UserId,RefereeProfile,UserId,AppUser,UserId
FK_RefereeReport_AppUser,RefereeReport,ReportedUserId,AppUser,UserId
FK_RefereeReport_Horse,RefereeReport,ReportedHorseId,Horse,Id
FK_RefereeReport_Race_RaceId,RefereeReport,RaceId,Race,RaceId
FK_RefereeReport_RefereeProfile_RefereeId,RefereeReport,RefereeId,RefereeProfile,RefereeId
FK_Registration_Horse_HorseId,Registration,HorseId,Horse,Id
FK_Registration_Tournament_TournamentId,Registration,TournamentId,Tournament,TournamentId
FK_Round_Tournament_TournamentId,Round,TournamentId,Tournament,TournamentId
FK_TournamentPrizePayout_AppUser_UserId,TournamentPrizePayout,UserId,AppUser,UserId
FK_TournamentPrizePayout_Tournament_TournamentId,TournamentPrizePayout,TournamentId,Tournament,TournamentId
FK_Wallet_AppUser_UserId,Wallet,UserId,AppUser,UserId
FK_WalletTransaction_Wallet_WalletId,WalletTransaction,WalletId,Wallet,WalletId

(36 rows affected)
